Item ID,Item Name,Good Type,Ingredient Category,Recipe Unit,Purchase Unit,Purchase Unit Conversion,Market Prices
1775201720158-d3gqfv6oj,Concombre,Food,Vegetable,pc,kg,1,1775201720158-d3gqfv6oj>concombre >supplier-1761652156967>Metro Auxerre>Food>Plastic Bag>1>kg>1.97>Plastic Bag>1>>>>>|1776692745132-76rigzp3z>Arena - concombre >supplier-1776677164417>M.Charraire>Food>>1>pc>1.69>>1>>>>>
1780056499529-fppggrr9o,Mozzarella,Food,,,kg,,1780056499529-fppggrr9o>Mozzarella pain 1kg (MOZSTLU45S)>supplier-1761652935093>Alazard>Food>Bag>1>kg>15.56>Bag>1>>>>>|1775222925238-10-unhpd2ody>MOZZARELLA 41% MG 2.5KG>supplier-1761652156967>Metro Auxerre>Food>>2.5>KG>17.87>>>>>>>
1775201786724-wgy8hfrph,Confiture de fraise,Food,,,kg,,1775201786724-wgy8hfrph>Confiture fraise 1kg>supplier-1761652156967>Metro Auxerre>Food>>1>kg>4.00>>>>>>>
1780056599560-ad02srj72,Buchette chèvre,Food,Cheese,kg,pc,5.55,1780056599560-ad02srj72>Buchette chèvre 180g ( CHELON 180)>supplier-1761652935093>Alazard>Food>Bag>1>pc>2.58>Bag>1>>>>>
1776437860700-bhdmtcbjp,Parmesan rapé,Food,Cheese,kg,kg,1,1776437860700-bhdmtcbjp>FIT011 - Parmesan reggiano poudre 1kg>supplier-1776437642936>Beaugrain>Food>Bag>1>kg>17.00>Bag>1>>>>>|1775222925418-20-9f61y40e2>PARMIGIANO RAPE 500G>supplier-1761652156967>Metro Auxerre>Food>>0.5>KG>11.66>>>>>>>|1776678370482-5oca2fk8v>Parmigiano rapé (PARMFRAIKG)>supplier-1761652935093>Alazard>Food>Bag>1>kg>22.50>Bag>1>>>>>
1780057497228-mnldy3vne,Paprika,Food,,,kg,,1780057497228-mnldy3vne>Paprika doux fumé (5187)>supplier-1761662500738>Cercle vert>Food>Bag>1>kg>6.50>Bag>1>>>>>|1775222925238-19-ir9mtktto>PAPRIKA DOUX 1KG>supplier-1761652156967>Metro Auxerre>Food>>1>KG>8.54>>>>>>>|1776437515452-skxkltnng>Paprika précieux doux (8265)>supplier-1761662500738>Cercle vert>Food>Bag>1>kg>8.50>Bag>1>>>>>
1780057606110-i0sjnt5u0,Poivre Gris Moulu,Food,Spice,kg,kg,1,1780057606110-i0sjnt5u0>Poivre Gris Moulu (0025S2>supplier-1761662500738>Cercle vert>Food>Bag>1>kg>5.50>Bag>1>>>>>
1775201917588-usec69tx5,Cornichon,Food,,,L,,1775201917588-usec69tx5>MC CORNIC LAMELLE>supplier-1761652156967>Metro Auxerre>Food>>1.7>L>5.78>>>>>>>
1780057710292-1evqrq52e,Piment Doux Moulu,Food,,,kg,,1780057710292-1evqrq52e>Piment Doux Moulu (8643)>supplier-1761662500738>Cercle vert>Food>Bag>0.425>kg>7.50>Bag>1>>>>>
1780057757427-2yb0ltdre,Muscade Moulue,Food,,,kg,,1780057757427-2yb0ltdre>Muscade Moulue (7396)>supplier-1761662500738>Cercle vert>Food>Bag>0.45>kg>8.00>Bag>1>>>>>
1775201984569-xjro6ayzh,Crème epaisse 15%,Food,,kg,L,1,1775201984569-xjro6ayzh>Creme fraiche 15%>supplier-1761652156967>Metro Auxerre>Food>>3>L>12.02>>>>>>>
1775202096453-33peb8u6c,Sandwich - Jambon,Food,,pc,Piece,1,1775202096453-33peb8u6c>Jambon fromage pain graines (PGJF)>supplier-1775199633073>Croc wich>Food>>1>Piece>2.85>>1>>>>>
1780057890461-19w3vz8b6,Chapelure Panko,Food,,,kg,,1780057890461-19w3vz8b6>Paris - Chapelure Panko (4357)>supplier-1761662500738>Cercle vert>Food>Bag>1>kg>6.93>Bag>1>>>>>|1775222925988-53-ds30s7988>PANKO 1KG METRO CHEF>supplier-1761652156967>Metro Auxerre>Food>>1>KG>6.63>>>>>>>
1775202145934-r49jj7u1f,Sandwich -  Poulet (PGPM),Food,,pc,Pièce,1,1775202145934-r49jj7u1f>Poulet roti mayo pain graines (PGPM)>supplier-1775199633073>Croc wich>Food>>1>Pièce>2.80>>1>>>>>
1775202217482-ilzx6rcd7,Sandwich - Poulet curry,Food,,pc,Pièce,1,1775202217482-ilzx6rcd7>Poulet roti curry pain graines>supplier-1775199633073>Croc wich>Food>>1>Pièce>2.90>>>>>>>
1780058090078-tnpd6vtb1,Bicarbonate de sodium,Food,,,kg,,1780058090078-tnpd6vtb1>Bicarbonate de sodium (26643)>supplier-1761662500738>Cercle vert>Food>Bag>0.8>kg>4.12>Bag>1>>>>>
1775202293380-9elvksfxp,Cumin,Food,,,kg,,1775202293380-9elvksfxp>Cumin moulu>supplier-1761652156967>Metro Auxerre>Food>>1>kg>16.76>>>>>>>|1776437482736-wff47yf1l>Cumin moulu>supplier-1761662500738>Cercle vert>Food>Bag>1>kg>13.00>Bag>1>>>>>
1780058165144-mkuk7zspq,Jus de citron,Food,,,l,,1780058165144-mkuk7zspq>Paris - Jus de citron jaune (2605)>supplier-1761662500738>Cercle vert>Food>Bottle>1>l>2.80>Bottle>1>>>>>|1775203727150-awot3bip4>Jus de citron jaune>supplier-1761652156967>Metro Auxerre>Food>Bottle>1>l>4.29>Bottle>1>>>>>
1775202381714-1xftmhp11,Demi tradition,Food,,,Pièce,,1775202381714-1xftmhp11>demi tradition>supplier-1775199655872>Boivin>Food>>1>Pièce>0.52>>>>>>>
1776436850339-ap53wcyky,Noisettes Hachées,Food,,,kg,,1776436850339-ap53wcyky>Noisettes hachées (7565)>supplier-1761662500738>Cercle vert>Food>Bag>1>kg>19.50>Bag>1>>>>>|1776683438161-u68ydluy9>Noisette hachée 1kg>supplier-1776759982886>Métro Paris>Food>Bag>1>kg>18.76>Bag>1>>>>>|1775222925988-59-99m2vuwc5>NOISETTES HACHÉES 1KG>supplier-1761652156967>Metro Auxerre>Food>Bag>1>kg>17.89>Bag>1>>>>>
1775202455344-eqtos6vtw,Echalottes ciselées,Food,,kg,kg,1,1775202455344-eqtos6vtw>Echalotte ciselée>supplier-1761652156967>Metro Auxerre>Food>>0.45>kg>6.59>>>>>>>
1775202547776-ounnpvnpv,Epoisse,Food,,,kg,,1775202547776-ounnpvnpv>Epoisse AOP LAIT>supplier-1761652156967>Metro Auxerre>Food>>0.983>kg>20.48>>>>>>>
1775202666291-uhm15l9d4,Feta,Food,Cheese,kg,kg,1,1775202666291-uhm15l9d4>Feta AOP>supplier-1761652156967>Metro Auxerre>Food>>0.9>kg>14.54>>>>>>>|1776677745877-twxgesthw>Fêta grecque (FETGRE502)>supplier-1761652935093>Alazard>Food>Bag>2>kg>25.80>Bag>2>>>>>
1775202848720-131h8ujkn,Frites,Food,,,kg,,1775202848720-131h8ujkn>Frite 10/10 précuite >supplier-1775199813061>Bourgogne primeurs>Food>>2.5>kg>4.25>>>>4>>>|1776433482753-c7fazisvq>Frites 10/10 précuite 2.5kg LUCAS>supplier-1761667267932>Saint Prim>Food>Bag>1>kg>1.79>Bag>2>>>>>|1776681875775-zsz5gon4d>Frite 10/10 précuite >supplier-1761667267932>Saint Prim>Food>>1>kg>1.70>Bag>2>>>>>
1775203038534-j1soo8i0s,Haribo - Delir'Pik,Food,,,Pièce,,1775203038534-j1soo8i0s>Delir'pik scht>supplier-1767860872004>Confisud>Food>>30>Pièce>26.70>>>>>>>|1776678629716-chjg0pfe5>Delir’pik scht 120g (HARI039)>supplier-1767860872004>Confisud>Food>Carton>30>pc>28.00>Carton>30>>>>>
1780058436142-hgc10tz4y,Pate d'arachide,Food,,,kg,,1780058436142-hgc10tz4y>Pate d'arachide (20249)>supplier-1761662500738>Cercle vert>Food>Bag>0.5>kg>4.70>Bag>1>>>>>
1775203106900-o228zdvpi,Haribo - Dragibus,Food,,,pc,,1775203106900-o228zdvpi>Dragibus scht>supplier-1767860872004>Confisud>Food>Bag>30>pc>26.70>Bag>30>>>>>|1776678562011-c4va7idp8>Dragibus scht 120g (HARI029)>supplier-1767860872004>Confisud>Food>Carton>30>pc>28.00>Carton>30>>>>>
1780058653661-5v4i3lybk,Huile Tournesol,Food,,,l,,1780058653661-5v4i3lybk>Huile Tournesol (11666)>supplier-1761662500738>Cercle vert>Food>Bottle>5>l>9.50>Bottle>5>>>>>|1775222925785-48-de879uef6>HUILE TOURNESOL 3L ROCHAMBEAU>supplier-1761652156967>Metro Auxerre>Food>Bottle>3>l>6.59>Bottle>3>>>>>|1775203402827-no459coel>Huile tournesol 25L Maurel>supplier-1761652156967>Metro Auxerre>Food>Bottle>25>l>44.73>Bottle>25>>>>>|1776435845026-12fhst9d9>Huile tournesol friture >supplier-1761662500738>Cercle vert>Food>Bottle>10>l>16.80>Bottle>10>>>>>
1775203169981-rjl6ny591,Haribo - Happy life,Food,,,pc,,1775203169981-rjl6ny591>Happy Life scht 120g (HARI062)>supplier-1767860872004>Confisud>Food>Carton>30>pc>26.70>Carton>30>>>>>|1776687406793-z3tljvu2s>Happy life 2kg>supplier-1761662500738>Cercle vert>Food>Bag>2>kg>13.00>Bag>2>>>>>
1776436290790-8h74a1094,Oignons frits,Food,,,kg,,1776436290790-8h74a1094>Oignons frits (27705)>supplier-1761662500738>Cercle vert>Food>Bag>1>kg>8.00>Bag>1>>>>>|1775222925238-13-qjvaevk4x>OIGNONS FRITS 2KG>supplier-1761652156967>Metro Auxerre>Food>Plastic Bag>2>kg>9.76>Plastic Bag>2>>>>>
1775203552975-0fg03qls8,Jambon persillé,Food,,,kg,,1775203552975-0fg03qls8>Jambon persillé 1.9Kg>supplier-1761652156967>Metro Auxerre>Food>>1.9>kg>15.39>>>>>>>
1780058969025-vzoz1kia6,Empanada,Food,,,pc,,1780058969025-vzoz1kia6>SJB - Empanada caprese>supplier-1767860853316>Classico Argentino>Food>Carton>1>pc>2.18>Carton>1>>>>>|1776678749344-w1hmvm2ys>SJB -Empanada carné>supplier-1767860853316>Classico Argentino>Food>Carton>1>pc>2.18>Carton>1>>>>>|1776690069696-309uwj2ud>Arena - empanadas >supplier-1767860853316>Classico Argentino>Food>>1>pc>1.10>>1>>>>>
1780059921554-hr41dt9he,Viande Hachée - Steak 125g,Food,Meat,pc,kg,0.125,1780059921554-hr41dt9he>Steak 125g (SHNS125)>supplier-1775199902203>Ets Denis>Food>Bag>1>kg>13.00>Plastic Bag>1>>>>>
1775203665752-ygriqw6as,Jambon cuit,Food,,,Piece,,1775203665752-ygriqw6as>JB CT SUP A L OS>supplier-1775199585684>Loste>Food>>10>Piece>10.83>>>>>>>|1776693298834-3s63bvaqh>Arena - jambon blanc sans sel nitrité>supplier-1776437642936>Beaugrain>Food>>1>kg>10.69>>7>>>>>
1776688128695-nr8r5u6wf,Muffin chocolat,Food,,pc,pc,1,1776688128695-nr8r5u6wf>Muffin chocolat >supplier-1775199633073>Croc wich>Food>>1>pc>1.51>>1>>>>>|1775668123802-catbqleti>Muffin chocolat 85g (160602)>supplier-1775668077351>La compagnie des desserts>Food>Bag>50>pc>46.53>Bag>1>>>>>
1780060307303-p68t3vh43,Muffin pépites de chocolat,Food,,,pc,,1780060307303-p68t3vh43>Muffin pépites de chocolat 85g>supplier-1775668077351>La compagnie des desserts>Food>Bag>50>pc>44.29>Bag>50>>>>>
1775206295695-0-rz35ev7ha,Pate à tartiner - Nutella,Food,,kg,KG,1,1775206295695-0-rz35ev7ha>NUTELLA 1KG>supplier-1761652156967>Metro Auxerre>Food>>1>KG>7.37>>>>>>>
1780062714550-8jni5tqlq,Saucisse de volaille,Food,Meat,kg,pc,1,1780062714550-8jni5tqlq>Saucisse de volaille>supplier-1776435684028>Manhattan hotdog>Food>Carton>96>pc>78.00>Carton>96>>>>>
1780296877037-a4clgeatd,Pain à Hot Dog,Food,Bread,pc,pc,1,1780296877037-a4clgeatd>Pain hot dog 80g>supplier-1776435684028>Manhattan hotdog>Food>Carton>48>pc>26.50>Carton>48>>>>>
1780300473170-nhb3hrjcw,Échalote émincé,Food,,,kg,,1780300473170-nhb3hrjcw>Échalote émincé 8bq>supplier-1776677164417>M.Charraire>Food>Bag>1>kg>11.46>Bag>1>>>>>
1775200127397-nzn90r6mf,Aiguillette de poulet,Food,Meat,kg,kg,1,1775200127397-nzn90r6mf>Aiguillette de poulet corn flakes >supplier-1775199585684>Loste>Food>Plastic Bag>1>kg>11.94>Plastic Bag>1>2>>>>
1775222924995-0-y8ujycsth,Ketchup - Buch 10ML,Food,,kg,PCE,1,1775222924995-0-y8ujycsth>KETCHUP BUCH 180x10ML RIOBA>supplier-1761652156967>Metro Auxerre>Food>>180>PCE>8.87>>>>>>>|1776436402190-rgo5u27sh>Ketchup 10g Dosette>supplier-1761662500738>Cercle vert>Food>Carton>600>pc>32.38>Carton>600>>>>>
1775222925626-31-f3ttu8vc4,Saucisse de Francfort,Food,Meat,kg,kg,1,1775222925626-31-f3ttu8vc4>SSE DE FRANCFORT BN VPF 2KG ENV LE DOUESY CT8>supplier-1761652156967>Metro Auxerre>Food>>1>kg>8.91>>2>>>>>|1776434433056-5pux6tyu7>SSE DE FRANCFORT BN VPF 2KG (001626.001)>supplier-1775199585684>Loste>Food>Bag>1>kg>8.92>Bag>2>>>>>|1776693403232-e42k5r721>Arena - saucisse de Francfort >supplier-1776437642936>Beaugrain>Food>Bag>1.6>kg>10.53>Bag>1>>>>>
1775222924996-1-84bcfhf1z,Ketchup - Bidon,Food,,kg,KG,1,1775222924996-1-84bcfhf1z>KETCHUP BIDON 5KG>supplier-1761652156967>Metro Auxerre>Food>>5>KG>9.80>>>>>>>|1776437197120-paoabk4e5>Ketchup bidon 5kg (2487)>supplier-1761662500738>Cercle vert>Food>Bottle>5>kg>8.95>Bottle>1>>>>>|1776683778373-lodrdxk6e>Ketchup bidon 5kg>supplier-1776759982886>Métro Paris>Food>Bottle>5>kg>8.01>Bottle>5>>>>>|1776684067991-csznqrl4w>Heinz ketchup bidon 11 8kg>supplier-1776759982886>Métro Paris>Food>>8>kg>37.26>>8>>>>>
1775222925626-33-boz1hww1o,Sel - 5 kg,Food,Condiment,kg,kg,1,1775222925626-33-boz1hww1o>SEL FIN SEAU 5KG>supplier-1761652156967>Metro Auxerre>Food>Bag>5>kg>3.50>Bag>5>>>>>|1776688203388-ewsrq2hpv>Sel fin 5kg (2843)>supplier-1761662500738>Cercle vert>Food>Bag>5>kg>5.90>Bag>5>>>>>
1775222924996-3-gfkf5as9l,Mayonnaise - Buch 10ML,Food,,,pc,,1775222924996-3-gfkf5as9l>MAYO BUCH 180x10ML RIOBA>supplier-1761652156967>Metro Auxerre>Food>Carton>180>pc>10.46>Carton>180>>>>>|1776436467106-7mkwo7ukd>Mayonnaise dosette 10ML>supplier-1761662500738>Cercle vert>Food>Carton>600>pc>41.04>Carton>600>>>>>
1775222925626-34-vymwvlndb,Viande Hachée - Steak 120g,Food,Meat,pc,kg,0.12,1775222925626-34-vymwvlndb>Steak 120g (SHNS120)>supplier-1775199902203>Ets Denis>Food>Plastic Bag>1>kg>12.80>Plastic Bag>1>>>>>
1775222924996-4-25hv8vyml,Mayonnaise - Seau 5L,Food,,kg,kg,1,1775222924996-4-25hv8vyml>MAYONNAISE 4.7KG>supplier-1761652156967>Metro Auxerre>Food>Bag>5>kg>11.21>Bag>4.7>>>>>|1776437133738-0i4c4ik6s>Mayonnaise seau noir (8485)>supplier-1761662500738>Cercle vert>Food>Bag>5>kg>15.00>Bag>1>>>>>|1776683876475-e72fmbq22>Mayo 4.7kg>supplier-1776759982886>Métro Paris>Food>Bottle>4.7>kg>13.45>Bottle>5>>>>>
1775222924996-5-aqebl1fln,Vin rouge - Merlot 10L,Beverage,Wine,l,pc,0.1,1775222924996-5-aqebl1fln>MERLOT 10L RIBEAUVILLE>supplier-1761652156967>Metro Auxerre>Beverage>Bottle>1>pc>19.29>Bottle>1>>>>>
1775222925626-36-i6fdlrny1,Tenders,Food,Meat,kg,kg,1,"1775222925626-36-i6fdlrny1>TENDERS EPICE OUMATY (4X2,5KG) (TENOUM)>supplier-1767860980364>Prevogel>Food>Bag>2.5>kg>26.25>Bag>2>2.5>>>>|1776683590020-jmhnkt18f>Tenders épice 2.5kg halcert >supplier-1776759982886>Métro Paris>Food>Bag>2.5>kg>21.30>Bag>2>>>>>"
1775222924996-6-c0zm6byf2,Mesclun,Food,,,KG,,1775222924996-6-c0zm6byf2>MESCLUN 300G>supplier-1761652156967>Metro Auxerre>Food>>0.3>KG>4.50>>>>>>>
1775222925626-37-gblvjcu3s,Twix,Food,,pc,pc,1,1775222925626-37-gblvjcu3s>TWIX 50G X 32>supplier-1767860872004>Confisud>Food>Plastic Bag>32>pc>15.68>Plastic Bag>32>>>>>
1775222924996-7-5gp5gd6ma,Moutarde de Dijon - Buch,Food,,,Pièce,,1775222924996-7-5gp5gd6ma>MOUTARDE DIJON 4G x250>supplier-1761652156967>Metro Auxerre>Food>>1>Pièce>0.03>>>>>>>
1775222924996-8-n0l8qq3zd,Moutarde  de Dijon - Bidon 5KG,Food,Condiment,kg,KG,1,1775222924996-8-n0l8qq3zd>MOUTARDE DIJON 5KG>supplier-1761652156967>Metro Auxerre>Food>>5>KG>8.50>>>>>>>
1775222924996-9-5mp1t5jxc,Moutarde Yellow,Food,Condiment,kg,KG,1,1775222924996-9-5mp1t5jxc>MOUTARDE YELLOW 2.9KG>supplier-1761652156967>Metro Auxerre>Food>>2.9>KG>12.10>>>>>>>|1776690341872-6lv9yc5tl>Paris - Yellow moutarde (26751)>supplier-1761662500738>Cercle vert>Food>Bottle>2>kg>11.00>Bottle>2>>>>>
1775222925785-41-3l7j2v3x5,Yaourt Grec,Food,,kg,KG,1,1775222925785-41-3l7j2v3x5>YAOURT GREC 1KG METRO CHEF>supplier-1761652156967>Metro Auxerre>Food>>1>KG>5.06>>>>>>>
1775222925785-42-4vnqlkk63,Oignons jaunes émincés,Food,,,KG,,1775222925785-42-4vnqlkk63>OIGNONS ÉMINCÉS 2.5KG MC>supplier-1761652156967>Metro Auxerre>Food>>2.5>KG>4.85>>>>>>>
1775222925238-12-5q30sg7uu,Oignons rouges émincés,Food,,kg,KG,1,1775222925238-12-5q30sg7uu>OIGNON RGE EPLUCHES 2KG MC UE>>>Food>>1>KG>7.00>>>>>>>|1763780502961-23-kjg39b2fp>Oignon Rouge Emincé>supplier-1761667267932>Saint Prim>Food>>10>kg>9.58>>>>>>>
1775222925785-44-t145gt4b7,Emmental rapé,Food,,,KG,,1775222925785-44-t145gt4b7>EMMENTAL RÂPÉ 1KG MC>supplier-1761652156967>Metro Auxerre>Food>>1>KG>8.63>>>>>>>|1776677961209-pbwa6kwej>Emmental rapé (EMMRASV1)>supplier-1761652935093>Alazard>Food>Bag>1>kg>8.19>Bag>1>>>>>
1775222925238-14-bsnfevhep,Oignons rouges,Food,,,KG,,1775222925238-14-bsnfevhep>OIGNONS ROUGES 2KG>supplier-1761652156967>Metro Auxerre>Food>>2>KG>7.76>>>>>>>|1776689132295-ddunrk8v7>Oignon rouge Filet 10kg >supplier-1776677164417>M.Charraire>Food>Bag>1>kg>1.08>Bag>10>>>>>
1775222925785-45-503yu3mv7,Cheddar rouge râpé,Food,,,KG,,1775222925785-45-503yu3mv7>CHEDDAR ROUGE RÂPÉ 1KG MC>supplier-1761652156967>Metro Auxerre>Food>>1>KG>10.55>>>>>>>
1775222925238-15-gt924ylyt,Oranges Naveline,Food,,,KG,,1775222925238-15-gt924ylyt>ORANGES NAVELINE 9KG>supplier-1761652156967>Metro Auxerre>Food>>9>KG>9.80>>>>>>>
1775222925785-46-de9iuukqx,Tomme de Savoie,Food,Cheese,kg,KG,1,"1775222925785-46-de9iuukqx>TOMME SAVOIE IGP 1,7KG>supplier-1761652156967>Metro Auxerre>Food>>1.7>KG>12.49>>>>>>>"
1775222925238-16-pb5qbv0nr,Pain américain,Food,,,PCE,,1775222925238-16-pb5qbv0nr>Pain américain>supplier-1775199655872>Boivin>Food>>1>PCE>0.52>>>>>>>
1775222925785-47-5h0h37ne8,Champignons émincés,Food,,kg,KG,1,1775222925785-47-5h0h37ne8>CHAMPIGNONS ÉMINCÉS 5/1 ARO>supplier-1761652156967>Metro Auxerre>Food>>4>KG>9.26>>>>>>>
1775222925238-17-3l8rxovab,Bun - Burger,Food,Bread,pc,pc,1,1775222925238-17-3l8rxovab>4x LARGE PANCO 80gr - PNC_B02021>supplier-1767777180649>Panco>Food>Plastic Bag>48>pc>26.40>Plastic Bag>4>>>>>
1775222925238-18-ktxw5fg1u,Bun - Roll,Food,Bread,pc,pc,1,1775222925238-18-ktxw5fg1u>ROLL 75g - 50 unités - PNC_ROLL002>supplier-1767777180649>Panco>Food>Plastic Bag>50>pc>27.00>Plastic Bag>4>>>>>
1775222925988-50-hehvmgkq4,Penne,Food,,,KG,,1775222925988-50-hehvmgkq4>PENNE RIGATE 3KG DE CECCO>>>Food>>1>KG>11.00>>>>>>>
1775222925988-51-0eyqaqqbj,Sauce Soja,Food,Condiment,l,L,1,1775222925988-51-0eyqaqqbj>SAUCE SOJA 1L KIKKOMAN>supplier-1761652156967>Metro Auxerre>Food>>1>L>9.83>>>>>>>
1775222925418-21-fe8erk68g,Persil plat,Food,,,KG,,1775222925418-21-fe8erk68g>PERSIL PLAT 500G BQ8 ITITALIE>supplier-1761652156967>Metro Auxerre>Food>>0.5>KG>4.69>>>>>>>|1775228892251-jmqixv0ho>PERSIL PLAT 1KG>supplier-1761652156967>Metro Auxerre>Food>>1>kg>8.24>>>>>>>|1776689622730-mkcaeur23>Persil plat botte >supplier-1776677164417>M.Charraire>Food>Bag>0.05>kg>0.52>Bag>1>>>>>
1775222925988-52-snx08zynm,Fleur de sel,Food,,,kg,,1775222925988-52-snx08zynm>FLEUR DE SEL 125G CAMARGUE>supplier-1761652156967>Metro Auxerre>Food>Bag>0.125>kg>2.84>Bag>0.125>>>>>|1776435956242-v3ysqtioq>Sel Fleur de de Guérande IGP (2815)>supplier-1761662500738>Cercle vert>Food>Bag>0.5>kg>5.80>Bag>1>>>>>
1775663587884-lg2eccp2l,Chips - Belsia 40g,Food,,pc,Piece ,1,1775663587884-lg2eccp2l>Chips 40g>supplier-1775663478243>Belsia >Food>>1>Piece >0.55>>>>40>>>
1775222925418-22-agu8l1297,Persil haché,Food,,,KG,,1775222925418-22-agu8l1297>PERSIL HACHÉ 310G>supplier-1761652156967>Metro Auxerre>Food>>0.31>KG>5.12>>>>>>>|1776677305607-cqbrj1507>Persil haché 16sachets de 125g (4HEPERH16RCS)>supplier-1776677164417>M.Charraire>Food>Bag>0.125>kg>0.80>Bag>0>>>>>
1775664548855-vrgpgzfin,Œuf liquide,Food,,,Litre,,1775664548855-vrgpgzfin>Œuf liquide >supplier-1761652156967>Metro Auxerre>Food>>1>Litre>4.65>>>>>>>|1776688308572-ldstm8q5t>Œuf liquide entier >supplier-1761652935093>Alazard>Food>Bottle>1>l>4.65>Bottle>1>>>>>
1775222925418-23-015xxwi52,Pizza - Margherita,Food,,,PCE,,1775222925418-23-015xxwi52>CARTON DE 6 MARGHERITA 20X30>supplier-1775199872751>La fabrique>Food>>6>PCE>30.36>>>>>>>|1775667576933-vujfndt0r>Plaque de 4 parts >supplier-1775667365352>Square pizza club>Food>>4>Piece >5.04>>>>>>>
1775222925988-54-xghhyyer6,Pommes GALA,Food,,,KG,,"1775222925988-54-xghhyyer6>POMMES GALA 6,3KG>supplier-1761652156967>Metro Auxerre>Food>>6.3>KG>11.72>>>>>>>|1776689280468-r0jyyehuw>Pomme gala 70/75>supplier-1776677164417>M.Charraire>Food>Bag>1>kg>1.62>Bag>1>>>>>"
1775222925418-24-yre34qutn,Poivre - Dosettes,Food,Spice,kg,PCE,1,1775222925418-24-yre34qutn>POIVRE DOSETTES X1000 RIOBA>supplier-1761652156967>Metro Auxerre>Food>>1000>PCE>6.79>>>>>>>
1775222925988-55-bme5fix9r,Ail blanc (3 têtes),Food,,,PCE,,1775222925988-55-bme5fix9r>AIL BLANC 3 TÊTES>supplier-1761652156967>Metro Auxerre>Food>>3>PCE>2.52>>>>>>>
1775222925418-25-s4a5gonh3,Poivre Noir,Food,Spice,kg,kg,1,1775222925418-25-s4a5gonh3>POIVRE NOIR MOULU 1KG>supplier-1761652156967>Metro Auxerre>Food>Bag>1>kg>16.83>Bag>1>>>>>
1775222925418-29-pf41xtbqa,Salade Iceberg,Food,Vegetable,kg,kg,1,1775222925418-29-pf41xtbqa>SALADE ICEBERG DEMI>supplier-1761652156967>Metro Auxerre>Food>Plastic Bag>0.5>kg>0.60>Plastic Bag>0.5>>>>>|1776689210962-6jb4zzgkc>Iceberg cat 1 >supplier-1776677164417>M.Charraire>Food>>1>kg>3.66>>1>>>>>|1763781587037-54-rvufbenev>Salade Iceberg>supplier-1761667267932>Saint Prim>Food>Plastic Bag>10>pc>7.26>Plastic Bag>10>>>>>
1775222926159-61-bhbx2wl9v,Pépite de chocolat noir,Food,,,KG,,1775222926159-61-bhbx2wl9v>PÉPITES CHOCOLAT NOIR 44% 1KG>supplier-1761652156967>Metro Auxerre>Food>>1>KG>12.09>>>>>>>|1776437316819-vxoulsieb>Chocolat drops 44% (3912)>supplier-1761662500738>Cercle vert>Food>Bag>5>kg>38.44>Bag>5>>>>>
1775222925626-30-no1kjzg41,Sauce pizza Mutti,Food,Vegetable,kg,KG,1,1775222925626-30-no1kjzg41>SAUCE PIZZA MUTTI 5/1>supplier-1761652156967>Metro Auxerre>Food>>4>KG>8.81>>>>>>>
1775222926159-62-hkoxm74c7,Lait 1/2 écrémé,Beverage,,l,pc,1,1775222926159-62-hkoxm74c7>LAIT UHT 1/2 ÉCRÉMÉ 1L>supplier-1761652156967>Metro Auxerre>Beverage>Bottle>1>pc>1.20>Carton>6>>>>>|1776677624085-beskt1v8q>Lait uht 1/2 ecremé>supplier-1761652935093>Alazard>Beverage>Bottle>1>l>1.08>Carton>12>>>>>|1767783576798-3k0d5a3gj>1L - 91732>supplier-1762287668036>France Boissons IDF>Beverage>Bottle>1>pc>1.42>Carton>6>>6>>>
1775222925988-56-trk5yxz2t,Chou-fleur,Food,,,PCE,,1775222925988-56-trk5yxz2t>CHOU-FLEUR PC6>supplier-1761652156967>Metro Auxerre>Food>>1>PCE>1.97>>>>>>>
1763780502453-10-7xvklaa69,Viande Hachée -  Vrac,Food,Meat,kg,kg,1,1763780502453-10-7xvklaa69>Viande Hachée>supplier-1761652156967>Metro Auxerre>Food>Carton>1>kg>9.08>Carton>1>>>>>|1776691072791-jcq6uz8lg>Arena - viande hachée de bœuf >supplier-1775199902203>Ets Denis>Food>Bag>1>kg>13.00>Bag>1>>>>>|1776694019995-qjvctojxu>Arena - viande hachée 1.3 kg>supplier-1776759982886>Métro Paris>Food>Bag>1.3>kg>17.49>Bag>1>>>>>|1776694310417-weo3s59wp>Arena - viande hachée 20%>supplier-1776437642936>Beaugrain>Food>Bag>1>kg>18.06>Bag>2>>>>>
1764169463752-o07r5m485,Pain Burger,Food,,,pc,,1764169463752-o07r5m485>Pain Burger>supplier-1761652156967>Metro Auxerre>Food>>100>pc>55.00>>>>>>>
1776348924599-qcq3rr0in,Red Bull zéro - CAN 25CL,Beverage,Soft Drink,pc,pc,1,1776348924599-qcq3rr0in>Red bull zéro 25CL>supplier-1762287668036>France Boissons IDF>Beverage>Can>1>pc>1.22>Carton>24>>>>>
1776348985067-cmrwzpflk,Red Bull pastèque - CAN 25CL,Beverage,Soft Drink,pc,pc,1,1776348985067-cmrwzpflk>Red Bull pastèque 25CL>supplier-1762287668036>France Boissons IDF>Beverage>Can>1>pc>1.30>Carton>24>>>>>
1775222925418-27-tct3ph95c,Rillette,Food,Meat,kg,KG,1,1775222925418-27-tct3ph95c>RILLETTES MANS 1KG RUSTADOU>supplier-1761652156967>Metro Auxerre>Food>>1>KG>12.98>>>>>>>
